AcresBurned,AdminUnit,ArchiveYear,Counties,Extinguished date,extinguish time,Fatalities,Latitude,Location,Longitude,Name,SearchDescription,Started date,Start Time,StructuresDamaged,StructuresDestroyed
37, Shasta-Trinity National Forest ,2017,Shasta,1/9/2018,13:46:00Z,,40.774,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",-122.309, Bridge Fire,"The Bridge Fire started on October 31 2017, at I-5 and Turntable Bay, 7 miles NE of Shasta Lake (Shasta County) and burned 37 acres. It was contained November 5, 2017.",10/31/2017,11:22:00Z,,
0,Camp Pendleton Marine Corps Base,2017,San Diego,1/9/2018,11:10:00Z,,33.43513,off Cristianitos Rd. and Talega Rd.,-117.58252, Cristianitos Fire,"The Cristianitos Fire started on June 28, 2017, off Cristianitos Rd and Talega Rd on Camp Pendleton in San Diego County.",6/28/2017,17:56:00Z,,
124,CAL FIRE Madera-Mariposa-Merced Unit,2013,Merced,6/5/2013,08:30:00Z,,37.03776,Hwy 152 in San Luis Creek Reservoir,-121.006939,152 Fire,"The 152 Fire burned in June 2013, off Highway 152 in San Luis Creek Reservoir in Merced County.",6/4/2013,15:42:00Z,,
214,Orange County Fire Authority,2015,Orange,7/15/2015,18:45:00Z,,33.7626,"Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County)",-117.7274,241 Fire,"241 Fire started on July 13 off Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County) and burned 214 acres.",7/13/2015,10:47:00Z,,
157,CAL FIRE Madera-Mariposa-Merced Unit,2017,Madera,1/9/2018,10:28:00Z,,37.12759,"off of Road 29, north of Ave 26, east of Chowchilla",-120.0193,26 Fire,"The 26 Fire started on June 2017 off of Road 29, north of Ave 26, east of Chowchilla (Madera County) and burned 157 acres.",6/7/2017,21:00:00Z,,
217,CAL FIRE Tehama-Glenn Unit,2013,Glenn,5/5/2013,18:00:00Z,,39.514139,2 miles south of the community of Elk Creek,-122.560862,306 Fire,"The 306 Fire burned in May 2013, 2 miles south of the community of Elk Creek in Glenn County.",5/1/2013,19:00:00Z,,
56,CAL FIRE Lassen-Modoc Unit,2018,Lassen,1/4/2019,09:44:00Z,,40.95234,"Hwy 299 E and Little Valley Rd, Dixie Valley Peak, 16 miles east of Fall River Mills",-121.21597,3-10 Fire,"The 3_10 or 3-10 fire started on July 15, 2018 at Hwy 299 E and Little Valley Rd, Dixie Valley Peak, 16 miles east of Fall River Mills (Lassen County). The 3-10 fire was contained on July 17, 2018, and burned 5 acres. ",7/15/2018,11:55:00Z,,
116,CAL FIRE Lassen-Modoc Unit,2015,Modoc,7/26/2015,10:10:00Z,,41.29226,"on Splawn Mountain, northeast of Bieber",-121.172117,3-11 Fire,"The 3-11 Fire start on July 23, 2015 on Splawn Mountain, northeast of Bieber in Modoc County and burned 116 acres.",7/23/2015,16:40:00Z,,
77,CAL FIRE Lassen-Modoc Unit,2015,Modoc,7/25/2015,22:00:00Z,,40.856422,"in Dixie Valley, southwest of Bieber",-121.101623,3-12 Fire,"The 3-12 Fire started on July 23, 2015 in Dixie Valley, southwest of Bieber in Modoc County and burned 77 acres.",7/23/2015,17:30:00Z,,
89,CAL FIRE Lassen-Modoc Unit,2018,Lassen,1/4/2019,09:42:00Z,,40.94666,near Little Valley,-121.27049,3-16 Fire,"The 3-16 Fire started on July 15, 2018 near Little Valley in Lassen County. The 3-16 fire burned 89 acres, and was contained on July 17, 2018.",7/15/2018,18:54:00Z,,
32,CAL FIRE Lassen-Modoc Unit,2018,Lassen,1/4/2019,09:42:00Z,,41.08583,"Punkin Center Road and Juniper Road, 6 miles southwest of the Community of Bieber",-121.05722,3-18 Fire,"The 3-18 fire started on July 15, 2018 at Punkin Center Road and Juniper Road, 6 miles southwest of the Community of Bieber in Lassen County. The fire was contained on July 17,2018, and burned 32 acres.",7/15/2018,16:45:00Z,,
17,CAL FIRE Chico Butte Unit,2019,Butte,6/24/2019,11:06:00Z,,39.76242,Humboldt Road and Highway 32,-121.73659,32 Fire,The 32 Fire started June 15 2019 off Humboldt Road about one-half mile down from Highway 32 in Butte County. was contained on 6-15-2019,6/15/2019,15:29:00Z,,
28,CAL FIRE / Butte County Fire,2017,Butte,1/9/2018,13:24:00Z,,39.8255,"Hwy 32 and Humboldt Road, 5 miles northeast of Chico ",-121.7127,32 Fire,"The Thirty Two fire started on September 25, 2017 off Hwy 32 and Humboldt Road, 5 miles northeast of Chico in Butte County.",9/25/2017,11:03:00Z,,
14,CAL FIRE Lassen-Modoc Unit,2018,Lassen,1/4/2019,09:45:00Z,,39.99309,"off Homestead Ranch Road, southeast of Doyle ",-120.02137,3-2 Fire,"The 3-2 fire started on July 14, 2018 off  Homestead Ranch Road, southeast of Doyle (Lassen County). The fire was contained on July 15, 2018 at 14 acres.",7/14/2018,15:00:00Z,,
107,Lassen National Forest,2019,Lassen,,,,40.900458,"Pittville Road and Sheep Flat Road, southeast of Fall River Mills",-121.320838,3-2 Willow (Previously H-1 Fire),"The H-1 fire started on August 8, 2019 at Pittville Road and Sheep Flat Road, southeast of Fall River Mills in Lassen County.",8/7/2019,18:48:57Z,,
20,CAL FIRE Tehama-Glenn Unit ,2017,Tehama,1/9/2018,13:29:00Z,,40.20077,"off Hwy 36W and Monroe St., West Red Bluff",-122.24731,36 Fire,"The 36 Fire started on October 3, 2017 off of off Hwy 36W and Monroe St., West Red Bluff in Tehama County and burned 20 acres.",10/3/2017,16:22:00Z,,
110,CAL FIRE Tehama-Glenn Unit,2015,Tehama,8/9/2015,20:30:00Z,,40.3506868,off Highwat 36 near Paynes Creek,-121.7786799,36 Fire,"Fire started on August 8, 2015 off Highway 36 near Paynes Creek (Tehama County) and burned 110 acres.",8/8/2015,14:55:00Z,,1
1660,CAL FIRE Sonoma-Lake-Napa Unit,2017,Sonoma,1/9/2018,13:34:00Z,,38.14242,Hwy 37 & Lakeville Highway,-122.47301,37 Fire,"The 37 Fire started on October 9, 2017 off Hwy 37 & Lakeville Highway near Skaggs Island (Sonoma County) and burned 1,660 acres.",10/9/2017,14:00:00Z,,
150,Madera County Fire Department,2017,Madera,1/9/2018,10:01:00Z,,36.90967,"off of Hwy 41 and Ave 11, north of Fresno",-119.79315,41 Fire,"The 41 Fire started on May 17, 1017 off of Hwy 41 and Ave 11, north of Fresno (Madera County) and burned 150 acres.",5/17/2017,15:30:00Z,,
27,CAL FIRE Lassen-Modoc Unit,2017,Modoc,1/9/2018,12:48:00Z,,41.64469,"off Highway 395 and County Road 118, 16 miles north of Alturas.",-120.31814,4-10 Fire,"the 4-10 fire started August 30 2017, off Highway 395 and County Road 118, 16 miles north of Alturas (Modoc County).",8/30/2017,14:50:00Z,,
28,CAL FIRE Lassen-Modoc Unit,2017,Modoc,1/9/2018,12:48:00Z,,41.4844,"4 miles east of Dorris Reservoir, east of Alturas",-120.36659,4-4 Fire,"The 4-4 fire started on August 30, 2017 4 miles east of Dorris Reservoir, east of Alturas in Modoc County.",8/30/2017,11:38:00Z,,
328,CAL FIRE Riverside County Fire Department,2019,Riverside,11/3/2019,16:15:00Z,,33.985972,"5300 block of 46th Street, East Jurupa Valley ",-117.414111,46 Fire,"46 Fire started on October 31, 2019 off of 5300 block of 46th Street, East of Jurupa Valley in Riverside County.",10/31/2019,06:22:34Z,,
25,Los Angeles County Fire Department,2017,Los Angeles,1/9/2018,10:24:00Z,,34.29931,"I-5, North of Lake Hughes Rd, Community of Cataic ",-118.37539,5 Fire,"The 5 Fire started on June 3, 2017 I-5, North of Lake Hughes Rd, Community of Cataic in Los Angeles County and burned 25 acres.",6/3/2017,15:39:00Z,,
163,CAL FIRE / Sacramento Metropolitan Fire,2013,El Dorado,7/19/2013,17:15:00Z,,38.63987,South of Hwy 50 at the El Dorado and Sacramento County line,-121.08438,50 Fire,The 50 Fire burned in July 2013 South of Highway 50 at the El Dorado and Sacramento County Line. ,7/19/2013,14:12:00Z,,
163,CAL FIRE / Sacramento Metropolitan Fire,2013,Sacramento,7/19/2013,17:15:00Z,,38.63987,South of Hwy 50 at the El Dorado and Sacramento County line,-121.08438,50 Fire,The 50 Fire burned in July 2013 South of Highway 50 at the El Dorado and Sacramento County Line. ,7/19/2013,14:12:00Z,,
40,CAL FIRE Riverside Unit,2013,Riverside,5/17/2013,08:30:00Z,,33.655638,"Avenue 54 and Tyler Street, near the community of Coachella",-116.161201,54 Fire,"The 54 Fire burned in May 2013 off Avenue 54 and Tyler Street, near the community of Coachella, in Riverside County. ",5/16/2013,13:48:00Z,,
487,CAL FIRE Tuolumne-Calaveras Unit,2014,Tuolumne,6/5/2014,20:00:00Z,,37.76617,"near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir",-120.45087,59 Fire,"The 59 Fire started on June 4, 2014 and burned 487 acres near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir in Tuolumne County.",6/4/2014,11:45:00Z,,
